DriverNumber,BroadcastName,Abbreviation,DriverId,TeamName,TeamColor,TeamId,FirstName,LastName,FullName,HeadshotUrl,CountryCode,Position,ClassifiedPosition,GridPosition,Q1,Q2,Q3,Time,Status,Points
33,M VERSTAPPEN,VER,,Red Bull Racing,1e41ff,,Max,Verstappen,Max Verstappen,None,,,,,,,,,,
5,S VETTEL,VET,,Ferrari,dc0000,,Sebastian,Vettel,Sebastian Vettel,None,,,,,,,,,,
44,L HAMILTON,HAM,,Mercedes,00d2be,,Lewis,Hamilton,Lewis Hamilton,None,,,,,,,,,,
77,V BOTTAS,BOT,,Mercedes,00d2be,,Valtteri,Bottas,Valtteri Bottas,None,,,,,,,,,,
23,A ALBON,ALB,,Red Bull Racing,1e41ff,,Alexander,Albon,Alexander Albon,None,,,,,,,,,,
10,P GASLY,GAS,,Toro Rosso,469bff,,Pierre,Gasly,Pierre Gasly,None,,,,,,,,,,
8,R GROSJEAN,GRO,,Haas F1 Team,bd9e57,,Romain,Grosjean,Romain Grosjean,None,,,,,,,,,,
7,K RAIKKONEN,RAI,,Alfa Romeo Racing,9b0000,,Kimi,Räikkönen,Kimi Räikkönen,None,,,,,,,,,,
20,K MAGNUSSEN,MAG,,Haas F1 Team,bd9e57,,Kevin,Magnussen,Kevin Magnussen,None,,,,,,,,,,
4,L NORRIS,NOR,,McLaren,ff8700,,Lando,Norris,Lando Norris,None,,,,,,,,,,
3,D RICCIARDO,RIC,,Renault,fff500,,Daniel,Ricciardo,Daniel Ricciardo,None,,,,,,,,,,
99,A GIOVINAZZI,GIO,,Alfa Romeo Racing,9b0000,,Antonio,Giovinazzi,Antonio Giovinazzi,None,,,,,,,,,,
27,N HULKENBERG,HUL,,Renault,fff500,,Nico,Hulkenberg,Nico Hulkenberg,None,,,,,,,,,,
16,C LECLERC,LEC,,Ferrari,dc0000,,Charles,Leclerc,Charles Leclerc,None,,,,,,,,,,
11,S PEREZ,PER,,Racing Point,f596c8,,Sergio,Perez,Sergio Perez,None,,,,,,,,,,
26,D KVYAT,KVY,,Toro Rosso,469bff,,Daniil,Kvyat,Daniil Kvyat,None,,,,,,,,,,
18,L STROLL,STR,,Racing Point,f596c8,,Lance,Stroll,Lance Stroll,None,,,,,,,,,,
63,G RUSSELL,RUS,,Williams,ffffff,,George,Russell,George Russell,https://www.formula1.com/content/dam/fom-website/drivers/G/GEORUS01_George_Russell/georus01.png.transform/1col/image.png,,,,,,,,,,
88,R KUBICA,KUB,,Williams,ffffff,,Robert,Kubica,Robert Kubica,https://www.formula1.com/content/dam/fom-website/drivers/R/ROBKUB01_Robert_Kubica/robkub01.png.transform/1col/image.png,,,,,,,,,,
55,C SAINZ,SAI,,McLaren,ff8700,,Carlos,Sainz,Carlos Sainz,None,,,,,,,,,,
