DriverNumber,BroadcastName,Abbreviation,DriverId,TeamName,TeamColor,TeamId,FirstName,LastName,FullName,HeadshotUrl,CountryCode,Position,ClassifiedPosition,GridPosition,Q1,Q2,Q3,Time,Status,Points
44,L HAMILTON,HAM,,Mercedes,00d2be,,Lewis,Hamilton,Lewis Hamilton,,,,,,,,,,,
77,V BOTTAS,BOT,,Mercedes,00d2be,,Valtteri,Bottas,Valtteri Bottas,,,,,,,,,,,
33,M VERSTAPPEN,VER,,Red Bull Racing,1e41ff,,Max,Verstappen,Max Verstappen,,,,,,,,,,,
5,S VETTEL,VET,,Ferrari,dc0000,,Sebastian,Vettel,Sebastian Vettel,,,,,,,,,,,
20,K MAGNUSSEN,MAG,,Haas F1 Team,bd9e57,,Kevin,Magnussen,Kevin Magnussen,,,,,,,,,,,
3,D RICCIARDO,RIC,,Renault,fff500,,Daniel,Ricciardo,Daniel Ricciardo,,,,,,,,,,,
26,D KVYAT,KVY,,Toro Rosso,469bff,,Daniil,Kvyat,Daniil Kvyat,,,,,,,,,,,
10,P GASLY,GAS,,Red Bull Racing,1e41ff,,Pierre,Gasly,Pierre Gasly,,,,,,,,,,,
55,C SAINZ,SAI,,McLaren,ff8700,,Carlos,Sainz,Carlos Sainz,,,,,,,,,,,
23,A ALBON,ALB,,Toro Rosso,469bff,,Alexander,Albon,Alexander Albon,,,,,,,,,,,
27,N HULKENBERG,HUL,,Renault,fff500,,Nico,Hulkenberg,Nico Hulkenberg,,,,,,,,,,,
4,L NORRIS,NOR,,McLaren,ff8700,,Lando,Norris,Lando Norris,,,,,,,,,,,
8,R GROSJEAN,GRO,,Haas F1 Team,bd9e57,,Romain,Grosjean,Romain Grosjean,,,,,,,,,,,
7,K RAIKKONEN,RAI,,Alfa Romeo Racing,9b0000,,Kimi,Räikkönen,Kimi Räikkönen,,,,,,,,,,,
16,C LECLERC,LEC,,Ferrari,dc0000,,Charles,Leclerc,Charles Leclerc,,,,,,,,,,,
11,S PEREZ,PER,,Racing Point,f596c8,,Sergio,Perez,Sergio Perez,,,,,,,,,,,
18,L STROLL,STR,,Racing Point,f596c8,,Lance,Stroll,Lance Stroll,,,,,,,,,,,
99,A GIOVINAZZI,GIO,,Alfa Romeo Racing,9b0000,,Antonio,Giovinazzi,Antonio Giovinazzi,,,,,,,,,,,
63,G RUSSELL,RUS,,Williams,ffffff,,George,Russell,George Russell,,,,,,,,,,,
88,R KUBICA,KUB,,Williams,ffffff,,Robert,Kubica,Robert Kubica,,,,,,,,,,,
