Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:39:14.871000,GAS,10,,1.0,1.0,,,,0 days 00:00:56.543000,0 days 00:00:34.384000,,0 days 00:38:40.566000,0 days 00:39:14.968000,238.0,97.0,246.0,261.0,False,MEDIUM,4.0,False,AlphaTauri,0 days 00:37:09.970000,2021-03-28 15:07:09.980,124,6.0,False,,False,False
0 days 00:41:37.134000,GAS,10,0 days 00:02:22.263000,2.0,1.0,,,0 days 00:00:45.220000,0 days 00:01:00.086000,0 days 00:00:36.957000,0 days 00:40:00.093000,0 days 00:41:00.179000,0 days 00:41:37.136000,120.0,134.0,182.0,236.0,True,MEDIUM,5.0,False,AlphaTauri,0 days 00:39:14.871000,2021-03-28 15:09:14.881,4,5.0,False,,False,False
0 days 00:44:09.738000,GAS,10,,3.0,1.0,,,0 days 00:00:42.591000,0 days 00:01:00.850000,0 days 00:00:49.169000,0 days 00:42:19.732000,0 days 00:43:20.626000,0 days 00:44:09.789000,217.0,99.0,176.0,229.0,False,MEDIUM,6.0,False,AlphaTauri,0 days 00:41:37.134000,2021-03-28 15:11:37.144,41,5.0,False,,False,False
0 days 00:46:16.510000,GAS,10,0 days 00:02:06.772000,4.0,1.0,,0 days 00:46:14.801000,0 days 00:00:33.336000,0 days 00:00:50.186000,0 days 00:00:43.250000,0 days 00:44:43.076000,0 days 00:45:33.262000,0 days 00:46:16.512000,229.0,202.0,,297.0,False,MEDIUM,7.0,False,AlphaTauri,0 days 00:44:09.738000,2021-03-28 15:14:09.748,1267,18.0,False,,False,False
0 days 00:48:28.044000,GAS,10,0 days 00:02:11.534000,5.0,2.0,0 days 00:46:53.133000,,0 days 00:01:05.748000,0 days 00:00:41.956000,0 days 00:00:23.830000,0 days 00:47:22.260000,0 days 00:48:04.216000,0 days 00:48:28.046000,231.0,251.0,275.0,213.0,False,HARD,1.0,True,AlphaTauri,0 days 00:46:16.510000,2021-03-28 15:16:16.520,71,19.0,False,,False,False
0 days 00:50:04.721000,GAS,10,0 days 00:01:36.677000,6.0,2.0,,,0 days 00:00:30.990000,0 days 00:00:41.802000,0 days 00:00:23.885000,0 days 00:48:59.036000,0 days 00:49:40.838000,0 days 00:50:04.723000,233.0,254.0,275.0,280.0,True,HARD,2.0,True,AlphaTauri,0 days 00:48:28.044000,2021-03-28 15:18:28.054,1,19.0,False,,False,True
0 days 00:51:41.675000,GAS,10,0 days 00:01:36.954000,7.0,2.0,,,0 days 00:00:31.176000,0 days 00:00:41.678000,0 days 00:00:24.100000,0 days 00:50:35.899000,0 days 00:51:17.577000,0 days 00:51:41.677000,232.0,252.0,274.0,282.0,False,HARD,3.0,True,AlphaTauri,0 days 00:50:04.721000,2021-03-28 15:20:04.731,1,19.0,False,,False,True
0 days 00:53:19.099000,GAS,10,0 days 00:01:37.424000,8.0,2.0,,,0 days 00:00:31.340000,0 days 00:00:41.981000,0 days 00:00:24.103000,0 days 00:52:13.017000,0 days 00:52:54.998000,0 days 00:53:19.101000,231.0,251.0,275.0,,False,HARD,4.0,True,AlphaTauri,0 days 00:51:41.675000,2021-03-28 15:21:41.685,1,19.0,False,,False,True
0 days 00:54:56.129000,GAS,10,0 days 00:01:37.030000,9.0,2.0,,,0 days 00:00:31.256000,0 days 00:00:41.911000,0 days 00:00:23.863000,0 days 00:53:50.357000,0 days 00:54:32.268000,0 days 00:54:56.131000,234.0,248.0,276.0,286.0,False,HARD,5.0,True,AlphaTauri,0 days 00:53:19.099000,2021-03-28 15:23:19.109,1,19.0,False,,False,True
0 days 00:56:33.504000,GAS,10,0 days 00:01:37.375000,10.0,2.0,,,0 days 00:00:31.296000,0 days 00:00:42.128000,0 days 00:00:23.951000,0 days 00:55:27.427000,0 days 00:56:09.555000,0 days 00:56:33.506000,233.0,245.0,274.0,285.0,False,HARD,6.0,True,AlphaTauri,0 days 00:54:56.129000,2021-03-28 15:24:56.139,1,19.0,False,,False,True
0 days 00:58:11.021000,GAS,10,0 days 00:01:37.517000,11.0,2.0,,,0 days 00:00:31.269000,0 days 00:00:42.075000,0 days 00:00:24.173000,0 days 00:57:04.775000,0 days 00:57:46.850000,0 days 00:58:11.023000,235.0,245.0,276.0,286.0,False,HARD,7.0,True,AlphaTauri,0 days 00:56:33.504000,2021-03-28 15:26:33.514,1,19.0,False,,False,True
0 days 00:59:49.075000,GAS,10,0 days 00:01:38.054000,12.0,2.0,,,0 days 00:00:31.415000,0 days 00:00:42.518000,0 days 00:00:24.121000,0 days 00:58:42.438000,0 days 00:59:24.956000,0 days 00:59:49.077000,233.0,242.0,275.0,287.0,False,HARD,8.0,True,AlphaTauri,0 days 00:58:11.021000,2021-03-28 15:28:11.031,1,19.0,False,,False,True
0 days 01:01:26.949000,GAS,10,0 days 00:01:37.874000,13.0,2.0,,,0 days 00:00:31.383000,0 days 00:00:42.312000,0 days 00:00:24.179000,0 days 01:00:20.460000,0 days 01:01:02.772000,0 days 01:01:26.951000,235.0,247.0,277.0,286.0,False,HARD,9.0,True,AlphaTauri,0 days 00:59:49.075000,2021-03-28 15:29:49.085,1,19.0,False,,False,True
0 days 01:03:05.251000,GAS,10,0 days 00:01:38.302000,14.0,2.0,,,0 days 00:00:31.450000,0 days 00:00:42.590000,0 days 00:00:24.262000,0 days 01:01:58.401000,0 days 01:02:40.991000,0 days 01:03:05.253000,233.0,244.0,276.0,287.0,False,HARD,10.0,True,AlphaTauri,0 days 01:01:26.949000,2021-03-28 15:31:26.959,1,19.0,False,,False,True
0 days 01:04:43.252000,GAS,10,0 days 00:01:38.001000,15.0,2.0,,,0 days 00:00:31.426000,0 days 00:00:42.398000,0 days 00:00:24.177000,0 days 01:03:36.679000,0 days 01:04:19.077000,0 days 01:04:43.254000,235.0,247.0,277.0,291.0,False,HARD,11.0,True,AlphaTauri,0 days 01:03:05.251000,2021-03-28 15:33:05.261,1,17.0,False,,False,True
0 days 01:06:21.245000,GAS,10,0 days 00:01:37.993000,16.0,2.0,,,0 days 00:00:31.359000,0 days 00:00:42.296000,0 days 00:00:24.338000,0 days 01:05:14.613000,0 days 01:05:56.909000,0 days 01:06:21.247000,233.0,248.0,276.0,287.0,False,HARD,12.0,True,AlphaTauri,0 days 01:04:43.252000,2021-03-28 15:34:43.262,1,17.0,False,,False,True
0 days 01:07:59.660000,GAS,10,0 days 00:01:38.415000,17.0,2.0,,,0 days 00:00:31.463000,0 days 00:00:42.478000,0 days 00:00:24.474000,0 days 01:06:52.710000,0 days 01:07:35.188000,0 days 01:07:59.662000,,250.0,275.0,290.0,False,HARD,13.0,True,AlphaTauri,0 days 01:06:21.245000,2021-03-28 15:36:21.255,1,17.0,False,,False,True
0 days 01:09:38.932000,GAS,10,0 days 00:01:39.272000,18.0,2.0,,,0 days 00:00:32.020000,0 days 00:00:43.035000,0 days 00:00:24.217000,0 days 01:08:31.682000,0 days 01:09:14.717000,0 days 01:09:38.934000,234.0,248.0,277.0,287.0,False,HARD,14.0,True,AlphaTauri,0 days 01:07:59.660000,2021-03-28 15:37:59.670,1,18.0,False,,False,True
0 days 01:11:19.770000,GAS,10,0 days 00:01:40.838000,19.0,2.0,,0 days 01:11:18.062000,0 days 00:00:31.607000,0 days 00:00:42.441000,0 days 00:00:26.790000,0 days 01:10:10.541000,0 days 01:10:52.982000,0 days 01:11:19.772000,233.0,246.0,,293.0,False,HARD,15.0,True,AlphaTauri,0 days 01:09:38.932000,2021-03-28 15:39:38.942,1,18.0,False,,False,False
0 days 01:13:19.060000,GAS,10,0 days 00:01:59.290000,20.0,3.0,0 days 01:11:42.399000,,0 days 00:00:52.568000,0 days 00:00:43.028000,0 days 00:00:23.694000,0 days 01:12:12.340000,0 days 01:12:55.368000,0 days 01:13:19.062000,232.0,245.0,276.0,221.0,False,MEDIUM,4.0,False,AlphaTauri,0 days 01:11:19.770000,2021-03-28 15:41:19.780,1,19.0,False,,False,False
0 days 01:14:55.543000,GAS,10,0 days 00:01:36.483000,21.0,3.0,,,0 days 00:00:31.029000,0 days 00:00:41.589000,0 days 00:00:23.865000,0 days 01:13:50.091000,0 days 01:14:31.680000,0 days 01:14:55.545000,234.0,248.0,276.0,281.0,True,MEDIUM,5.0,False,AlphaTauri,0 days 01:13:19.060000,2021-03-28 15:43:19.070,1,19.0,False,,False,True
