year,race,entries
2012,01-australia,24
2012,02-malaysia,24
2012,03-china,24
2012,04-bahrain,24
2012,05-spain,24
2012,06-monaco,24
2012,07-canada,24
2012,08-europe,24
2012,09-great-britain,24
2012,10-germany,24
2012,11-hungary,24
2012,12-belgium,24
2012,13-italy,24
2012,14-singapore,24
2012,15-japan,24
2012,16-korea,24
2012,17-india,24
2012,18-abu-dhabi,24
2012,19-united-states,24
2012,20-brazil,24
2013,01-australia,22
2013,02-malaysia,22
2013,03-china,22
2013,04-bahrain,22
2013,05-spain,22
2013,06-monaco,22
2013,07-canada,22
2013,08-great-britain,22
2013,09-germany,22
2013,10-hungary,22
2013,11-belgium,22
2013,12-italy,22
2013,13-singapore,22
2013,14-korea,22
2013,15-japan,22
2013,16-india,22
2013,17-abu-dhabi,22
2013,18-united-states,22
2013,19-brazil,22
2014,01-australia,22
2014,02-malaysia,22
2014,03-bahrain,22
2014,04-china,22
2014,05-spain,22
2014,06-monaco,22
2014,07-canada,22
2014,08-austria,22
2014,09-great-britain,22
2014,10-germany,22
2014,11-hungary,22
2014,12-belgium,22
2014,13-italy,22
2014,14-singapore,22
2014,15-japan,22
2014,16-russia,21
2014,17-united-states,18
2014,18-brazil,18
2014,19-abu-dhabi,20
2015,01-australia,20
2015,02-malaysia,20
2015,03-china,20
2015,04-bahrain,20
2015,05-spain,20
2015,06-monaco,20
2015,07-canada,20
2015,08-austria,20
2015,09-great-britain,20
2015,10-hungary,20
2015,11-belgium,20
2015,12-italy,20
2015,13-singapore,20
2015,14-japan,20
2015,15-russia,20
2015,16-united-states,20
2015,17-mexico,20
2015,18-brazil,20
2015,19-abu-dhabi,20
2016,01-australia,22
2016,02-bahrain,22
2016,03-china,22
2016,04-russia,22
2016,05-spain,22
2016,06-monaco,22
2016,07-canada,22
2016,08-europe,22
2016,09-austria,22
2016,10-great-britain,22
2016,11-hungary,22
2016,12-germany,22
2016,13-belgium,22
2016,14-italy,22
2016,15-singapore,22
2016,16-malaysia,22
2016,17-japan,22
2016,18-united-states,22
2016,19-mexico,22
2016,20-brazil,22
2016,21-abu-dhabi,22
2017,01-australia,20
2017,02-china,20
2017,03-bahrain,20
2017,04-russia,20
2017,05-spain,20
2017,06-monaco,20
2017,07-canada,20
2017,08-azerbaijan,20
2017,09-austria,20
2017,10-great-britain,20
2017,11-hungary,20
2017,12-belgium,20
2017,13-italy,20
2017,14-singapore,20
2017,15-malaysia,20
2017,16-japan,20
2017,17-united-states,20
2017,18-mexico,20
2017,19-brazil,20
2017,20-abu-dhabi,20
2018,01-australia,20
2018,02-bahrain,20
2018,03-china,20
2018,04-azerbaijan,20
2018,05-spain,20
2018,06-monaco,20
2018,07-canada,20
2018,08-france,20
2018,09-austria,20
2018,10-great-britain,20
2018,11-germany,20
2018,12-hungary,20
2018,13-belgium,20
2018,14-italy,20
2018,15-singapore,20
2018,16-russia,20
2018,17-japan,20
2018,18-united-states,20
2018,19-mexico,20
2018,20-brazil,20
2018,21-abu-dhabi,20
2019,01-australia,20
2019,02-bahrain,20
2019,03-china,20
2019,04-azerbaijan,20
2019,05-spain,20
2019,06-monaco,20
2019,07-canada,20
2019,08-france,20
2019,09-austria,20
2019,10-great-britain,20
2019,11-germany,20
2019,12-hungary,20
2019,13-belgium,20
2019,14-italy,20
2019,15-singapore,20
2019,16-russia,20
2019,17-japan,20
2019,18-mexico,20
2019,19-united-states,20
2019,20-brazil,20
