driverId,fastest_laps
lewis-hamilton,284
sergio-perez,254
valtteri-bottas,243
daniel-ricciardo,241
fernando-alonso,239
max-verstappen,223
nico-hulkenberg,221
carlos-sainz-jr,216
sebastian-vettel,213
kimi-raikkonen,187
lance-stroll,182
kevin-magnussen,180
esteban-ocon,171
pierre-gasly,168
charles-leclerc,164
romain-grosjean,161
lando-norris,150
george-russell,150
alexander-albon,123
felipe-massa,113
daniil-kvyat,110
yuki-tsunoda,106
marcus-ericsson,96
nico-rosberg,95
jenson-button,95
pastor-maldonado,68
oscar-piastri,68
guanyu-zhou,67
antonio-giovinazzi,60
nicholas-latifi,59
esteban-gutierrez,59
jean-eric-vergne,58
mick-schumacher,41
stoffel-vandoorne,40
charles-pic,39
mark-webber,39
paul-di-resta,38
felipe-nasr,38
pascal-wehrlein,36
adrian-sutil,36
logan-sargeant,36
liam-lawson,34
jolyon-palmer,34
max-chilton,34
kamui-kobayashi,34
jules-bianchi,32
oliver-bearman,27
franco-colapinto,25
robert-kubica,23
kimi-antonelli,23
isack-hadjar,23
heikki-kovalainen,22
gabriel-bortoleto,22
brendon-hartley,22
sergey-sirotkin,20
michael-schumacher,20
narain-karthikeyan,19
vitaly-petrov,19
timo-glock,19
bruno-senna,19
pedro-de-la-rosa,18
nikita-mazepin,18
giedo-van-der-garde,17
will-stevens,16
roberto-merhi,13
rio-haryanto,11
nyck-de-vries,11
jack-doohan,5
alexander-rossi,5
pietro-fittipaldi,2
jerome-dambrosio,1
jack-aitken,1
