driverId,points,position,race,year
jenson-button,25,1,01-australia,2012
sebastian-vettel,18,2,01-australia,2012
lewis-hamilton,15,3,01-australia,2012
mark-webber,12,4,01-australia,2012
fernando-alonso,10,5,01-australia,2012
kamui-kobayashi,8,6,01-australia,2012
kimi-raikkonen,6,7,01-australia,2012
sergio-perez,4,8,01-australia,2012
daniel-ricciardo,2,9,01-australia,2012
paul-di-resta,1,10,01-australia,2012
jean-eric-vergne,0,11,01-australia,2012
nico-rosberg,0,12,01-australia,2012
pastor-maldonado,0,13,01-australia,2012
timo-glock,0,14,01-australia,2012
charles-pic,0,15,01-australia,2012
bruno-senna,0,16,01-australia,2012
fernando-alonso,35,1,02-malaysia,2012
lewis-hamilton,30,2,02-malaysia,2012
jenson-button,25,3,02-malaysia,2012
mark-webber,24,4,02-malaysia,2012
sergio-perez,22,5,02-malaysia,2012
sebastian-vettel,18,6,02-malaysia,2012
kimi-raikkonen,16,7,02-malaysia,2012
bruno-senna,8,8,02-malaysia,2012
kamui-kobayashi,8,9,02-malaysia,2012
paul-di-resta,7,10,02-malaysia,2012
jean-eric-vergne,4,11,02-malaysia,2012
daniel-ricciardo,2,12,02-malaysia,2012
nico-hulkenberg,2,13,02-malaysia,2012
michael-schumacher,1,14,02-malaysia,2012
nico-rosberg,0,15,02-malaysia,2012
pastor-maldonado,0,16,02-malaysia,2012
timo-glock,0,17,02-malaysia,2012
charles-pic,0,18,02-malaysia,2012
felipe-massa,0,19,02-malaysia,2012
vitaly-petrov,0,20,02-malaysia,2012
heikki-kovalainen,0,21,02-malaysia,2012
pedro-de-la-rosa,0,22,02-malaysia,2012
narain-karthikeyan,0,22,02-malaysia,2012
lewis-hamilton,45,1,03-china,2012
jenson-button,43,2,03-china,2012
fernando-alonso,37,3,03-china,2012
mark-webber,36,4,03-china,2012
sebastian-vettel,28,5,03-china,2012
nico-rosberg,25,6,03-china,2012
sergio-perez,22,7,03-china,2012
kimi-raikkonen,16,8,03-china,2012
bruno-senna,14,9,03-china,2012
kamui-kobayashi,9,10,03-china,2012
romain-grosjean,8,11,03-china,2012
paul-di-resta,7,12,03-china,2012
jean-eric-vergne,4,13,03-china,2012
pastor-maldonado,4,14,03-china,2012
daniel-ricciardo,2,15,03-china,2012
nico-hulkenberg,2,16,03-china,2012
michael-schumacher,1,17,03-china,2012
felipe-massa,0,18,03-china,2012
timo-glock,0,19,03-china,2012
charles-pic,0,20,03-china,2012
vitaly-petrov,0,21,03-china,2012
heikki-kovalainen,0,22,03-china,2012
pedro-de-la-rosa,0,23,03-china,2012
narain-karthikeyan,0,23,03-china,2012
sebastian-vettel,53,1,04-bahrain,2012
lewis-hamilton,49,2,04-bahrain,2012
mark-webber,48,3,04-bahrain,2012
