constructorId,driverId,driverNumber,engineManufacturerId,gap,interval,lap,position,race,time,tyreManufacturerId,year
mercedes,nico-rosberg,6,mercedes,,,19,1,01-australia,1:32.478,pirelli,2014
williams,valtteri-bottas,77,mercedes,+0.090,+0.090,56,2,01-australia,1:32.568,pirelli,2014
ferrari,fernando-alonso,14,ferrari,+0.138,+0.048,56,3,01-australia,1:32.616,pirelli,2014
toro-rosso,daniil-kvyat,26,renault,+0.156,+0.018,38,4,01-australia,1:32.634,pirelli,2014
mclaren,kevin-magnussen,20,mercedes,+0.439,+0.283,39,5,01-australia,1:32.917,pirelli,2014
red-bull,daniel-ricciardo,3,renault,+0.588,+0.149,49,6,01-australia,1:33.066,pirelli,2014
mclaren,jenson-button,22,mercedes,+0.708,+0.120,57,7,01-australia,1:33.186,pirelli,2014
force-india,nico-hulkenberg,27,mercedes,+0.732,+0.024,56,8,01-australia,1:33.210,pirelli,2014
force-india,sergio-perez,11,mercedes,+0.888,+0.156,34,9,01-australia,1:33.366,pirelli,2014
ferrari,kimi-raikkonen,7,ferrari,+1.213,+0.325,56,10,01-australia,1:33.691,pirelli,2014
toro-rosso,jean-eric-vergne,25,renault,+1.386,+0.173,35,11,01-australia,1:33.864,pirelli,2014
sauber,esteban-gutierrez,21,ferrari,+1.724,+0.338,33,12,01-australia,1:34.202,pirelli,2014
sauber,adrian-sutil,99,ferrari,+2.086,+0.362,41,13,01-australia,1:34.564,pirelli,2014
lotus-f1,romain-grosjean,8,renault,+2.288,+0.202,30,14,01-australia,1:34.766,pirelli,2014
marussia,jules-bianchi,17,ferrari,+2.803,+0.515,41,15,01-australia,1:35.281,pirelli,2014
marussia,max-chilton,4,ferrari,+3.157,+0.354,55,16,01-australia,1:35.635,pirelli,2014
caterham,marcus-ericsson,9,renault,+4.586,+1.429,26,17,01-australia,1:37.064,pirelli,2014
lotus-f1,pastor-maldonado,13,renault,+4.854,+0.268,17,18,01-australia,1:37.332,pirelli,2014
mercedes,lewis-hamilton,44,mercedes,+7.809,+2.955,2,19,01-australia,1:40.287,pirelli,2014
red-bull,sebastian-vettel,1,renault,+17.469,+9.660,2,20,01-australia,1:49.947,pirelli,2014
mercedes,lewis-hamilton,44,mercedes,,,53,1,02-malaysia,1:43.066,pirelli,2014
mercedes,nico-rosberg,6,mercedes,+0.894,+0.894,55,2,02-malaysia,1:43.960,pirelli,2014
ferrari,fernando-alonso,14,ferrari,+1.099,+0.205,47,3,02-malaysia,1:44.165,pirelli,2014
red-bull,sebastian-vettel,1,renault,+1.223,+0.124,51,4,02-malaysia,1:44.289,pirelli,2014
red-bull,daniel-ricciardo,3,renault,+1.609,+0.386,48,5,02-malaysia,1:44.675,pirelli,2014
williams,felipe-massa,19,mercedes,+1.831,+0.222,44,6,02-malaysia,1:44.897,pirelli,2014
