constructorId,driverId,driverNumber,engineManufacturerId,gap,grandSlam,gridPosition,interval,laps,points,position,race,reasonRetired,time,timePenalty,tyreManufacturerId,year
mercedes,lewis-hamilton,44,mercedes,,,1,,58,25,1,01-australia,,1:31:54.067,,pirelli,2015
mercedes,nico-rosberg,6,mercedes,+1.360,,2,+1.360,58,18,2,01-australia,,1:31:55.427,,pirelli,2015
ferrari,sebastian-vettel,5,ferrari,+34.523,,4,+33.163,58,15,3,01-australia,,1:32:28.590,,pirelli,2015
williams,felipe-massa,19,mercedes,+38.196,,3,+3.673,58,12,4,01-australia,,1:32:32.263,,pirelli,2015
sauber,felipe-nasr,12,ferrari,+1:35.149,,10,+56.953,58,10,5,01-australia,,1:33:29.216,,pirelli,2015
red-bull,daniel-ricciardo,3,renault,+1 lap,,6,,57,8,6,01-australia,,,,pirelli,2015
force-india,nico-hulkenberg,27,mercedes,+1 lap,,13,,57,6,7,01-australia,,,,pirelli,2015
sauber,marcus-ericsson,9,ferrari,+1 lap,,15,,57,4,8,01-australia,,,,pirelli,2015
toro-rosso,carlos-sainz-jr,55,renault,+1 lap,,7,,57,2,9,01-australia,,,,pirelli,2015
force-india,sergio-perez,11,mercedes,+1 lap,,14,,57,1,10,01-australia,,,,pirelli,2015
mclaren,jenson-button,22,honda,+2 laps,,16,,56,,11,01-australia,,,,pirelli,2015
ferrari,kimi-raikkonen,7,ferrari,,,5,,40,,DNF,01-australia,Wheel,,,pirelli,2015
toro-rosso,max-verstappen,33,renault,,,11,,32,,DNF,01-australia,Engine,,,pirelli,2015
lotus-f1,romain-grosjean,8,mercedes,,,8,,0,,DNF,01-australia,Power loss,,,pirelli,2015
lotus-f1,pastor-maldonado,13,mercedes,,,9,,0,,DNF,01-australia,Collision,,,pirelli,2015
red-bull,daniil-kvyat,26,renault,,,12,,,,DNS,01-australia,,,,pirelli,2015
mclaren,kevin-magnussen,20,honda,,,17,,,,DNS,01-australia,,,,pirelli,2015
williams,valtteri-bottas,77,mercedes,,,,,,,DNS,01-australia,Injury,,,pirelli,2015
marussia,will-stevens,28,ferrari,,,,,,,DNP,01-australia,,,,pirelli,2015
marussia,roberto-merhi,98,ferrari,,,,,,,DNP,01-australia,,,,pirelli,2015
ferrari,sebastian-vettel,5,ferrari,,,2,,56,25,1,02-malaysia,,1:41:05.793,,pirelli,2015
mercedes,lewis-hamilton,44,mercedes,+8.569,,1,+8.569,56,18,2,02-malaysia,,1:41:14.362,,pirelli,2015
mercedes,nico-rosberg,6,mercedes,+12.310,,3,+3.741,56,15,3,02-malaysia,,1:41:18.103,,pirelli,2015
