constructorId,driverId,driverNumber,engineManufacturerId,gap,interval,laps,position,q1,q2,q3,race,tyreManufacturerId,year
mercedes,lewis-hamilton,44,mercedes,,,20,1,1:22.824,1:22.051,1:21.164,01-australia,pirelli,2018
ferrari,kimi-raikkonen,7,ferrari,+0.664,+0.664,17,2,1:23.096,1:22.507,1:21.828,01-australia,pirelli,2018
ferrari,sebastian-vettel,5,ferrari,+0.674,+0.010,20,3,1:23.348,1:21.944,1:21.838,01-australia,pirelli,2018
red-bull,max-verstappen,33,tag-heuer,+0.715,+0.041,18,4,1:23.483,1:22.416,1:21.879,01-australia,pirelli,2018
red-bull,daniel-ricciardo,3,tag-heuer,+0.988,+0.273,17,5,1:23.494,1:22.897,1:22.152,01-australia,pirelli,2018
haas,kevin-magnussen,20,ferrari,+2.023,+1.035,17,6,1:23.909,1:23.300,1:23.187,01-australia,pirelli,2018
haas,romain-grosjean,8,ferrari,+2.175,+0.152,17,7,1:23.671,1:23.468,1:23.339,01-australia,pirelli,2018
renault,nico-hulkenberg,27,renault,+2.368,+0.193,16,8,1:23.782,1:23.544,1:23.532,01-australia,pirelli,2018
renault,carlos-sainz-jr,55,renault,+2.413,+0.045,17,9,1:23.529,1:23.061,1:23.577,01-australia,pirelli,2018
mercedes,valtteri-bottas,77,mercedes,,,16,10,1:23.686,1:22.089,,01-australia,pirelli,2018
mclaren,fernando-alonso,14,renault,,,14,11,1:23.597,1:23.692,,01-australia,pirelli,2018
mclaren,stoffel-vandoorne,2,renault,,,14,12,1:24.073,1:23.853,,01-australia,pirelli,2018
force-india,sergio-perez,11,mercedes,,,14,13,1:24.344,1:24.005,,01-australia,pirelli,2018
williams,lance-stroll,18,mercedes,,,13,14,1:24.464,1:24.230,,01-australia,pirelli,2018
force-india,esteban-ocon,31,mercedes,,,16,15,1:24.503,1:24.786,,01-australia,pirelli,2018
toro-rosso,brendon-hartley,28,honda,,,8,16,1:24.532,,,01-australia,pirelli,2018
sauber,marcus-ericsson,9,ferrari,,,9,17,1:24.556,,,01-australia,pirelli,2018
sauber,charles-leclerc,16,ferrari,,,9,18,1:24.636,,,01-australia,pirelli,2018
williams,sergey-sirotkin,35,mercedes,,,8,19,1:24.922,,,01-australia,pirelli,2018
toro-rosso,pierre-gasly,10,honda,,,7,20,1:25.295,,,01-australia,pirelli,2018
ferrari,sebastian-vettel,5,ferrari,,,13,1,1:29.060,1:28.341,1:27.958,02-bahrain,pirelli,2018
ferrari,kimi-raikkonen,7,ferrari,+0.143,+0.143,13,2,1:28.951,1:28.515,1:28.101,02-bahrain,pirelli,2018
mercedes,valtteri-bottas,77,mercedes,+0.166,+0.023,16,3,1:29.275,1:28.794,1:28.124,02-bahrain,pirelli,2018
mercedes,lewis-hamilton,44,mercedes,+0.262,+0.096,16,4,1:29.396,1:28.458,1:28.220,02-bahrain,pirelli,2018
