constructorId,driverId,driverNumber,engineManufacturerId,gap,gridPosition,interval,laps,points,position,race,reasonRetired,time,timePenalty,tyreManufacturerId,year
ferrari,sebastian-vettel,5,ferrari,,3,,58,25,1,01-australia,,1:29:33.283,,pirelli,2018
mercedes,lewis-hamilton,44,mercedes,+5.036,1,+5.036,58,18,2,01-australia,,1:29:38.319,,pirelli,2018
ferrari,kimi-raikkonen,7,ferrari,+6.309,2,+1.273,58,15,3,01-australia,,1:29:39.592,,pirelli,2018
red-bull,daniel-ricciardo,3,tag-heuer,+7.069,8,+0.760,58,12,4,01-australia,,1:29:40.352,,pirelli,2018
mclaren,fernando-alonso,14,renault,+27.886,10,+20.817,58,10,5,01-australia,,1:30:01.169,,pirelli,2018
red-bull,max-verstappen,33,tag-heuer,+28.945,4,+1.059,58,8,6,01-australia,,1:30:02.228,,pirelli,2018
renault,nico-hulkenberg,27,renault,+32.671,7,+3.726,58,6,7,01-australia,,1:30:05.954,,pirelli,2018
mercedes,valtteri-bottas,77,mercedes,+34.339,15,+1.668,58,4,8,01-australia,,1:30:07.622,,pirelli,2018
mclaren,stoffel-vandoorne,2,renault,+34.921,11,+0.582,58,2,9,01-australia,,1:30:08.204,,pirelli,2018
renault,carlos-sainz-jr,55,renault,+45.722,9,+10.801,58,1,10,01-australia,,1:30:19.005,,pirelli,2018
force-india,sergio-perez,11,mercedes,+46.817,12,+1.095,58,,11,01-australia,,1:30:20.100,,pirelli,2018
force-india,esteban-ocon,31,mercedes,+1:00.278,14,+13.461,58,,12,01-australia,,1:30:33.561,,pirelli,2018
sauber,charles-leclerc,16,ferrari,+1:15.759,18,+15.481,58,,13,01-australia,,1:30:49.042,,pirelli,2018
williams,lance-stroll,18,mercedes,+1:18.288,13,+2.529,58,,14,01-australia,,1:30:51.571,,pirelli,2018
toro-rosso,brendon-hartley,28,honda,+1 lap,16,,57,,15,01-australia,,,,pirelli,2018
haas,romain-grosjean,8,ferrari,,6,,24,,DNF,01-australia,Wheel,,,pirelli,2018
haas,kevin-magnussen,20,ferrari,,5,,22,,DNF,01-australia,Wheel,,,pirelli,2018
toro-rosso,pierre-gasly,10,honda,,20,,13,,DNF,01-australia,Engine,,,pirelli,2018
