constructorId,engineManufacturerId,points,position,race,year
red-bull,honda-rbpt,44,1,01-bahrain,2024
ferrari,ferrari,27,2,01-bahrain,2024
mercedes,mercedes,16,3,01-bahrain,2024
mclaren,mercedes,12,4,01-bahrain,2024
aston-martin,mercedes,3,5,01-bahrain,2024
kick-sauber,ferrari,0,6,01-bahrain,2024
haas,ferrari,0,7,01-bahrain,2024
rb,honda-rbpt,0,8,01-bahrain,2024
williams,mercedes,0,9,01-bahrain,2024
alpine,renault,0,10,01-bahrain,2024
red-bull,honda-rbpt,87,1,02-saudi-arabia,2024
ferrari,ferrari,49,2,02-saudi-arabia,2024
mclaren,mercedes,28,3,02-saudi-arabia,2024
mercedes,mercedes,26,4,02-saudi-arabia,2024
aston-martin,mercedes,13,5,02-saudi-arabia,2024
haas,ferrari,1,6,02-saudi-arabia,2024
williams,mercedes,0,7,02-saudi-arabia,2024
kick-sauber,ferrari,0,8,02-saudi-arabia,2024
rb,honda-rbpt,0,9,02-saudi-arabia,2024
alpine,renault,0,10,02-saudi-arabia,2024
red-bull,honda-rbpt,97,1,03-australia,2024
ferrari,ferrari,93,2,03-australia,2024
mclaren,mercedes,55,3,03-australia,2024
mercedes,mercedes,26,4,03-australia,2024
aston-martin,mercedes,25,5,03-australia,2024
rb,honda-rbpt,6,6,03-australia,2024
haas,ferrari,4,7,03-australia,2024
williams,mercedes,0,8,03-australia,2024
kick-sauber,ferrari,0,9,03-australia,2024
alpine,renault,0,10,03-australia,2024
red-bull,honda-rbpt,141,1,04-japan,2024
ferrari,ferrari,120,2,04-japan,2024
mclaren,mercedes,69,3,04-japan,2024
mercedes,mercedes,34,4,04-japan,2024
aston-martin,mercedes,33,5,04-japan,2024
rb,honda-rbpt,7,6,04-japan,2024
haas,ferrari,4,7,04-japan,2024
williams,mercedes,0,8,04-japan,2024
kick-sauber,ferrari,0,9,04-japan,2024
alpine,renault,0,10,04-japan,2024
red-bull,honda-rbpt,195,1,05-china,2024
ferrari,ferrari,151,2,05-china,2024
mclaren,mercedes,96,3,05-china,2024
mercedes,mercedes,52,4,05-china,2024
aston-martin,mercedes,40,5,05-china,2024
rb,honda-rbpt,7,6,05-china,2024
haas,ferrari,5,7,05-china,2024
williams,mercedes,0,8,05-china,2024
alpine,renault,0,9,05-china,2024
