constructorId,fullName,id,name
adams,Adams,adams,Adams
afm,AFM 6,afm-6,6
afm,AFM 8,afm-8,8
ags,AGS JH21C,ags-jh21c,JH21C
ags,AGS JH22,ags-jh22,JH22
ags,AGS JH23,ags-jh23,JH23
ags,AGS JH23B,ags-jh23b,JH23B
ags,AGS JH24,ags-jh24,JH24
ags,AGS JH25,ags-jh25,JH25
ags,AGS JH25B,ags-jh25b,JH25B
ags,AGS JH27,ags-jh27,JH27
alfa-romeo,Alfa Romeo 158,alfa-romeo-158,158
alfa-romeo,Alfa Romeo 159,alfa-romeo-159,159
alfa-romeo,Alfa Romeo 177,alfa-romeo-177,177
alfa-romeo,Alfa Romeo 179,alfa-romeo-179,179
alfa-romeo,Alfa Romeo 179B,alfa-romeo-179b,179B
alfa-romeo,Alfa Romeo 179C,alfa-romeo-179c,179C
alfa-romeo,Alfa Romeo 179D,alfa-romeo-179d,179D
alfa-romeo,Alfa Romeo 182,alfa-romeo-182,182
alfa-romeo,Alfa Romeo 182B,alfa-romeo-182b,182B
alfa-romeo,Alfa Romeo 183T,alfa-romeo-183t,183T
alfa-romeo,Alfa Romeo 184T,alfa-romeo-184t,184T
alfa-romeo,Alfa Romeo 184TB,alfa-romeo-184tb,184TB
alfa-romeo,Alfa Romeo 185T,alfa-romeo-185t,185T
alfa-romeo,Alfa Romeo C38,alfa-romeo-c38,C38
alfa-romeo,Alfa Romeo C39,alfa-romeo-c39,C39
alfa-romeo,Alfa Romeo C41,alfa-romeo-c41,C41
alfa-romeo,Alfa Romeo C42,alfa-romeo-c42,C42
alfa-romeo,Alfa Romeo C43,alfa-romeo-c43,C43
alfa-special,Alfa Special Special,alfa-special-special,Special
alphatauri,AlphaTauri AT01,alphatauri-at01,AT01
alphatauri,AlphaTauri AT02,alphatauri-at02,AT02
alphatauri,AlphaTauri AT03,alphatauri-at03,AT03
alphatauri,AlphaTauri AT04,alphatauri-at04,AT04
alpine,Alpine A521,alpine-a521,A521
alpine,Alpine A522,alpine-a522,A522
alpine,Alpine A523,alpine-a523,A523
alpine,Alpine A524,alpine-a524,A524
alpine,Alpine A525,alpine-a525,A525
alta,Alta F2,alta-f2,F2
alta,Alta GP,alta-gp,GP
amon,Amon AF101,amon-af101,AF101
andrea-moda,Andrea Moda C4B,andrea-moda-c4b,C4B
andrea-moda,Andrea Moda S921,andrea-moda-s921,S921
apollon,Apollon Fly,apollon-fly,Fly
arrows,Arrows A1,arrows-a1,A1
arrows,Arrows A10,arrows-a10,A10
arrows,Arrows A10B,arrows-a10b,A10B
arrows,Arrows A11,arrows-a11,A11
arrows,Arrows A11B,arrows-a11b,A11B
arrows,Arrows A18,arrows-a18,A18
arrows,Arrows A19,arrows-a19,A19
arrows,Arrows A2,arrows-a2,A2
arrows,Arrows A20,arrows-a20,A20
arrows,Arrows A21,arrows-a21,A21
arrows,Arrows A22,arrows-a22,A22
arrows,Arrows A23,arrows-a23,A23
arrows,Arrows A3,arrows-a3,A3
arrows,Arrows A4,arrows-a4,A4
arrows,Arrows A5,arrows-a5,A5
arrows,Arrows A6,arrows-a6,A6
arrows,Arrows A7,arrows-a7,A7
arrows,Arrows A8,arrows-a8,A8
arrows,Arrows A9,arrows-a9,A9
arrows,Arrows FA1,arrows-fa1,FA1
arzani-volpini,Arzani-Volpini F1,arzani-volpini-f1,F1
aston-butterworth,Aston Butterworth NB41,aston-butterworth-nb41,NB41
aston-butterworth,Aston Butterworth NB42,aston-butterworth-nb42,NB42
aston-martin,Aston Martin AMR21,aston-martin-amr21,AMR21
aston-martin,Aston Martin AMR22,aston-martin-amr22,AMR22
aston-martin,Aston Martin AMR23,aston-martin-amr23,AMR23
aston-martin,Aston Martin AMR24,aston-martin-amr24,AMR24
aston-martin,Aston Martin AMR25,aston-martin-amr25,AMR25
aston-martin,Aston Martin DBR4,aston-martin-dbr4,DBR4
aston-martin,Aston Martin DBR5,aston-martin-dbr5,DBR5
ats,ATS 100,ats-100,100
ats-wheels,ATS D1,ats-wheels-d1,D1
ats-wheels,ATS D2,ats-wheels-d2,D2
ats-wheels,ATS D3,ats-wheels-d3,D3
ats-wheels,ATS D4,ats-wheels-d4,D4
ats-wheels,ATS D5,ats-wheels-d5,D5
ats-wheels,ATS D6,ats-wheels-d6,D6
ats-wheels,ATS D7,ats-wheels-d7,D7
ats-wheels,ATS HGS1,ats-wheels-hgs1,HGS1
ats-wheels,ATS HS1,ats-wheels-hs1,HS1
balsa,Balsa Spécial,balsa-special,Spécial
bar,BAR 002,bar-002,2
bar,BAR 003,bar-003,3
bar,BAR 004,bar-004,4
bar,BAR 005,bar-005,5
bar,BAR 006,bar-006,6
bar,BAR 006,bar-007,6
bar,BAR 01,bar-01,1
behra-porsche,Behra-Porsche RSK,behra-porsche-rsk,RSK
bellasi,Bellasi F1 70,bellasi-f1-70,F1 70
benetton,Benetton B186,benetton-b186,B186
benetton,Benetton B187,benetton-b187,B187
benetton,Benetton B188,benetton-b188,B188
benetton,Benetton B189,benetton-b189,B189
benetton,Benetton B189B,benetton-b189b,B189B
benetton,Benetton B190,benetton-b190,B190
benetton,Benetton B190B,benetton-b190b,B190B
benetton,Benetton B191,benetton-b191,B191
benetton,Benetton B191B,benetton-b191b,B191B
benetton,Benetton B192,benetton-b192,B192
benetton,Benetton B193,benetton-b193,B193
benetton,Benetton B193B,benetton-b193b,B193B
benetton,Benetton B194,benetton-b194,B194
benetton,Benetton B195,benetton-b195,B195
benetton,Benetton B196,benetton-b196,B196
benetton,Benetton B197,benetton-b197,B197
benetton,Benetton B198,benetton-b198,B198
