countryId,direction,fullName,id,latitude,length,longitude,name,placeName,previousNames,turns,type
australia,CLOCKWISE,Adelaide Street Circuit,adelaide,-34.927222,3.78,138.617222,Adelaide,Adelaide,,16,STREET
japan,CLOCKWISE,Okayama International Circuit,aida,34.915,3.703,134.221111,Aida,Aida,['TI Circuit Aida'],13,RACE
morocco,CLOCKWISE,Ain-Diab Circuit,ain-diab,33.578611,7.618,-7.6875,Ain-Diab,Casablanca,,18,ROAD
united-kingdom,CLOCKWISE,Aintree Motor Racing Circuit,aintree,53.476944,4.828,-2.940556,Aintree,Aintree,,8,ROAD
sweden,CLOCKWISE,Anderstorp Raceway,anderstorp,57.264167,4.031,13.601389,Anderstorp Raceway,Anderstorp,['Scandinavian Raceway'],8,RACE
united-states-of-america,ANTI_CLOCKWISE,Circuit of the Americas,austin,30.132778,5.513,-97.641111,Americas,Austin,,20,RACE
germany,ANTI_CLOCKWISE,AVUS,avus,52.480556,8.3,13.251389,AVUS,Berlin,,4,ROAD
bahrain,CLOCKWISE,Bahrain International Circuit,bahrain,26.0325,5.412,50.510556,Bahrain,Sakhir,,15,RACE
azerbaijan,ANTI_CLOCKWISE,Baku City Circuit,baku,40.3725,6.003,49.853333,Baku,Baku,,20,STREET
united-kingdom,CLOCKWISE,Brands Hatch,brands-hatch,51.356667,4.207,0.2625,Brands Hatch,Fawkham,,9,RACE
switzerland,CLOCKWISE,Circuit Bremgarten,bremgarten,46.95,7.28,7.410833,Bremgarten,Bern,,13,ROAD
india,CLOCKWISE,Buddh International Circuit,buddh,28.350556,5.125,77.535,Buddh,Greater Noida,,16,RACE
argentina,CLOCKWISE,Autódromo Juan y Oscar Gálvez,buenos-aires,-34.694272,4.259,-58.459347,Juan y Oscar Gálvez,Buenos Aires,"['Autódromo 17 de Octubre', 'Autódromo Municipal Ciudad de Buenos Aires', 'Autódromo Municipal del Parque Almirante Brown de la Ciudad de Buenos Aires', 'Autódromo Oscar Alfredo Gálvez']",19,RACE
france,CLOCKWISE,Bugatti Circuit,bugatti,47.937694,4.185,0.225611,Bugatti,Le Mans,,14,RACE
united-states-of-america,ANTI_CLOCKWISE,Caesars Palace,caesars-palace,36.116944,3.65,-115.175,Caesars Palace,Las Vegas,,14,STREET
spain,CLOCKWISE,Circuit de Barcelona-Catalunya,catalunya,41.57,4.657,2.261111,Catalunya,Montmeló,,14,RACE
france,CLOCKWISE,Charade Circuit,clermont-ferrand,45.747222,8.055,3.038889,Charade,Clermont-Ferrand,,48,ROAD
united-states-of-america,ANTI_CLOCKWISE,Fair Park,dallas,32.781944,3.901,-96.765556,Fair Park,Dallas,,23,STREET
united-states-of-america,ANTI_CLOCKWISE,Detroit Street Circuit,detroit,42.32975,4.023,-83.040111,Detroit,Detroit,,22,STREET
france,CLOCKWISE,Dijon-Prenois,dijon,47.3625,3.801,4.899167,Dijon-Prenois,Dijon,,12,RACE
united-kingdom,CLOCKWISE,Donington Park,donington,52.829806,4.023,-1.379556,Donington Park,Leicestershire,,12,RACE
south-africa,CLOCKWISE,Prince George Circuit,east-london,-33.048611,3.92,27.873611,Prince George,East London,,9,RACE
portugal,CLOCKWISE,Autódromo do Estoril,estoril,38.750833,4.36,-9.394167,Estoril,Estoril,,13,RACE
