aspiration,capacity,configuration,engineManufacturerId,fullName,id,name
NATURALLY_ASPIRATED,3.0,V10,acer,Acer 01A 3.0 V10,acer-01a-30-v10,01A
NATURALLY_ASPIRATED,3.0,F12,alfa-romeo,Alfa Romeo 115-12 3.0 F12,alfa-romeo-115-12-30-f12,115-12
NATURALLY_ASPIRATED,3.0,V12,alfa-romeo,Alfa Romeo 1260 3.0 V12,alfa-romeo-1260-30-v12,1260
SUPERCHARGED,1.5,L8,alfa-romeo,Alfa Romeo 158 1.5 L8 S,alfa-romeo-158-15-l8-s,158
TURBOCHARGED,1.5,V8,alfa-romeo,Alfa Romeo 890T 1.5 V8 T,alfa-romeo-890t-15-v8-t,890T
NATURALLY_ASPIRATED,1.5,L4,alfa-romeo,Alfa Romeo Giulietta 1.5 L4,alfa-romeo-giulietta-15-l4,Giulietta
NATURALLY_ASPIRATED,3.0,V8,alfa-romeo,Alfa Romeo T33 3.0 V8,alfa-romeo-t33-30-v8,T33
SUPERCHARGED,1.5,L4,alta,Alta 1.5 L4 S,alta-15-l4-s,Alta
NATURALLY_ASPIRATED,2.0,L4,alta,Alta F2 2.0 L4,alta-f2-20-l4,F2
NATURALLY_ASPIRATED,2.5,L4,alta,Alta GP 2.5 L4,alta-gp-25-l4,GP
NATURALLY_ASPIRATED,3.0,V10,arrows,Arrows A20E 3.0 V10,arrows-a20e-30-v10,A20E
NATURALLY_ASPIRATED,3.0,V10,arrows,Arrows T2-F1 3.0 V10,arrows-t2-f1-30-v10,T2-F1
NATURALLY_ASPIRATED,3.0,V10,asiatech,Asiatech 001 3.0 V10,asiatech-001-30-v10,1
NATURALLY_ASPIRATED,3.0,V10,asiatech,Asiatech AT02 3.0 V10,asiatech-at02-30-v10,AT02
NATURALLY_ASPIRATED,2.5,L6,aston-martin,Aston Martin RB6 2.5 L6,aston-martin-rb6-25-l6,RB6
NATURALLY_ASPIRATED,1.5,V8,ats,ATS 100 1.5 V8,ats-100-15-v8,100
NATURALLY_ASPIRATED,2.7,V8,ats,ATS 2.7 V8,ats-27-v8,ATS
NATURALLY_ASPIRATED,2.0,L6,bmw,BMW 328 2.0 L6,bmw-328-20-l6,328
NATURALLY_ASPIRATED,3.0,V10,bmw,BMW E41 3.0 V10,bmw-e41-30-v10,E41
NATURALLY_ASPIRATED,2.0,L4,bmw,BMW M10 2.0 L4,bmw-m10-20-l4,M10
NATURALLY_ASPIRATED,1.6,L4,bmw,BMW M12/1 1.6 L4,bmw-m12-1-16-l4,M12/1
TURBOCHARGED,1.5,L4,bmw,BMW M12/13/1 1.5 L4 T,bmw-m12-13-1-15-l4-t,M12/13/1
TURBOCHARGED,1.5,L4,bmw,BMW M12/13 1.5 L4 T,bmw-m12-13-15-l4-t,M12/13
NATURALLY_ASPIRATED,3.0,V10,bmw,BMW P80 3.0 V10,bmw-p80-30-v10,P80
NATURALLY_ASPIRATED,3.0,V10,bmw,BMW P82 3.0 V10,bmw-p82-30-v10,P82
NATURALLY_ASPIRATED,3.0,V10,bmw,BMW P83 3.0 V10,bmw-p83-30-v10,P83
NATURALLY_ASPIRATED,3.0,V10,bmw,BMW P84 3.0 V10,bmw-p84-30-v10,P84
NATURALLY_ASPIRATED,3.0,V10,bmw,BMW P84/5 3.0 V10,bmw-p84-5-30-v10,P84/5
NATURALLY_ASPIRATED,2.4,V8,bmw,BMW P86 2.4 V8,bmw-p86-24-v8,P86
NATURALLY_ASPIRATED,2.4,V8,bmw,BMW P86/7 2.4 V8,bmw-p86-7-24-v8,P86/7
NATURALLY_ASPIRATED,2.4,V8,bmw,BMW P86/8 2.4 V8,bmw-p86-8-24-v8,P86/8
