abbreviation,countryId,fullName,id,name,shortName
70A,united-kingdom,70th Anniversary Grand Prix,70th-anniversary,70th Anniversary,70th Anniversary GP
ABD,united-arab-emirates,Abu Dhabi Grand Prix,abu-dhabi,Abu Dhabi,Abu Dhabi GP
ARG,argentina,Argentine Grand Prix,argentina,Argentina,Argentine GP
AUS,australia,Australian Grand Prix,australia,Australia,Australian GP
AUT,austria,Austrian Grand Prix,austria,Austria,Austrian GP
AZE,azerbaijan,Azerbaijan Grand Prix,azerbaijan,Azerbaijan,Azerbaijan GP
BHR,bahrain,Bahrain Grand Prix,bahrain,Bahrain,Bahrain GP
BEL,belgium,Belgian Grand Prix,belgium,Belgium,Belgian GP
BRA,brazil,Brazilian Grand Prix,brazil,Brazil,Brazilian GP
CAE,united-states-of-america,Caesars Palace Grand Prix,caesars-palace,Caesars Palace,Caesars Palace GP
CAN,canada,Canadian Grand Prix,canada,Canada,Canadian GP
CHN,china,Chinese Grand Prix,china,China,Chinese GP
DAL,united-states-of-america,Dallas Grand Prix,dallas,Dallas,Dallas GP
DET,united-states-of-america,Detroit Grand Prix,detroit,Detroit,Detroit GP
EIF,germany,Eifel Grand Prix,eifel,Eifel,Eifel GP
EMR,italy,Emilia Romagna Grand Prix,emilia-romagna,Emilia Romagna,Emilia Romagna GP
EUR,,European Grand Prix,europe,Europe,European GP
FRA,france,French Grand Prix,france,France,French GP
DEU,germany,German Grand Prix,germany,Germany,German GP
GBR,united-kingdom,British Grand Prix,great-britain,Great Britain,British GP
HUN,hungary,Hungarian Grand Prix,hungary,Hungary,Hungarian GP
IND,india,Indian Grand Prix,india,India,Indian GP
IND,united-states-of-america,Indianapolis 500,indianapolis,Indianapolis,Indy 500
ITA,italy,Italian Grand Prix,italy,Italy,Italian GP
JPN,japan,Japanese Grand Prix,japan,Japan,Japanese GP
KOR,south-korea,Korean Grand Prix,korea,Korea,Korean GP
LAS,united-states-of-america,Las Vegas Grand Prix,las-vegas,Las Vegas,Las Vegas GP
LUX,luxembourg,Luxembourg Grand Prix,luxembourg,Luxembourg,Luxembourg GP
MYS,malaysia,Malaysian Grand Prix,malaysia,Malaysia,Malaysian GP
MEX,mexico,Mexican Grand Prix,mexico,Mexico,Mexican GP
MIA,united-states-of-america,Miami Grand Prix,miami,Miami,Miami GP
MCO,monaco,Monaco Grand Prix,monaco,Monaco,Monaco GP
MAR,morocco,Moroccan Grand Prix,morocco,Morocco,Moroccan GP
NLD,netherlands,Dutch Grand Prix,netherlands,Netherlands,Dutch GP
PAC,,Pacific Grand Prix,pacific,Pacific,Pacific GP
PES,italy,Pescara Grand Prix,pescara,Pescara,Pescara GP
PRT,portugal,Portuguese Grand Prix,portugal,Portugal,Portuguese GP
QAT,qatar,Qatar Grand Prix,qatar,Qatar,Qatar GP
RUS,russia,Russian Grand Prix,russia,Russia,Russian GP
SAK,bahrain,Sakhir Grand Prix,sakhir,Sakhir,Sakhir GP
SMR,san-marino,San Marino Grand Prix,san-marino,San Marino,San Marino GP
SAO,brazil,São Paulo Grand Prix,sao-paulo,São Paulo,São Paulo GP
SAU,saudi-arabia,Saudi Arabian Grand Prix,saudi-arabia,Saudi Arabia,Saudi Arabian GP
SGP,singapore,Singapore Grand Prix,singapore,Singapore,Singapore GP
ZAF,south-africa,South African Grand Prix,south-africa,South Africa,South African GP
ESP,spain,Spanish Grand Prix,spain,Spain,Spanish GP
STE,austria,Styrian Grand Prix,styria,Styria,Styrian GP
SWE,sweden,Swedish Grand Prix,sweden,Sweden,Swedish GP
CHE,switzerland,Swiss Grand Prix,switzerland,Switzerland,Swiss GP
TUR,turkey,Turkish Grand Prix,turkey,Turkey,Turkish GP
TUS,italy,Tuscan Grand Prix,tuscany,Tuscany,Tuscan GP
USA,united-states-of-america,United States Grand Prix West,united-states-west,United States West,United States GP West
USA,united-states-of-america,United States Grand Prix,united-states,United States,United States GP
